type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-10-09 06:58:28,47.67575439,17.64686678,4,118.792,44.190,0.000,,17,23,20211009-085828,GPS Logger: 20211009-085828
T,2021-10-09 06:58:29,47.67575448,17.64686669,4,118.825,44.190,0.000,,17,23,,
T,2021-10-09 06:58:30,47.67575443,17.64686668,4,118.837,44.190,0.000,,15,22,,
T,2021-10-09 06:58:31,47.67574850,17.64686692,4,119.571,44.190,0.560,172,17,23,,
T,2021-10-09 06:58:32,47.67573350,17.64687287,4,118.830,44.190,1.550,161,17,23,,
T,2021-10-09 06:58:33,47.67571853,17.64688538,4,118.894,44.190,1.660,152,17,23,,
T,2021-10-09 06:58:34,47.67570300,17.64689906,4,119.884,44.190,1.680,154,17,23,,
T,2021-10-09 06:58:35,47.67569007,17.64690681,4,120.480,44.190,1.250,167,17,23,,
T,2021-10-09 06:58:36,47.67567422,17.64691313,4,121.016,44.190,1.720,167,19,23,,
T,2021-10-09 06:58:37,47.67565848,17.64691844,4,120.943,44.190,1.570,168,18,23,,
T,2021-10-09 06:58:38,47.67564540,17.64692259,4,120.609,44.190,1.520,167,19,23,,
T,2021-10-09 06:58:39,47.67563289,17.64692947,4,121.349,44.190,1.480,158,19,23,,
T,2021-10-09 06:58:40,47.67561870,17.64693744,4,122.351,44.190,1.510,166,19,23,,
T,2021-10-09 06:58:41,47.67560340,17.64694562,4,122.227,44.190,1.630,161,19,23,,
T,2021-10-09 06:58:42,47.67559292,17.64695385,4,123.323,44.190,1.100,159,18,23,,
T,2021-10-09 06:58:43,47.67558283,17.64696015,4,124.495,44.190,1.510,167,17,23,,
T,2021-10-09 06:58:44,47.67557173,17.64696570,4,124.528,44.190,1.180,169,14,23,,
T,2021-10-09 06:58:45,47.67555578,17.64697343,4,124.001,44.190,1.730,163,14,23,,
T,2021-10-09 06:58:46,47.67553902,17.64698554,4,123.918,44.190,1.770,155,15,23,,
T,2021-10-09 06:58:47,47.67552287,17.64699784,4,123.131,44.190,1.780,155,16,23,,
T,2021-10-09 06:58:48,47.67550709,17.64700700,4,123.707,44.190,1.790,161,16,23,,
T,2021-10-09 06:58:49,47.67549049,17.64701124,4,124.005,44.190,1.780,168,16,23,,
T,2021-10-09 06:58:50,47.67547274,17.64701646,4,124.374,44.191,1.840,164,16,23,,
T,2021-10-09 06:58:51,47.67545781,17.64702463,4,123.971,44.191,1.690,156,16,23,,
T,2021-10-09 06:58:52,47.67544315,17.64703399,4,124.028,44.191,1.690,158,15,23,,
T,2021-10-09 06:58:53,47.67543068,17.64704655,4,124.516,44.191,1.680,150,13,22,,
T,2021-10-09 06:58:54,47.67541720,17.64705829,4,124.551,44.191,1.690,157,14,23,,
T,2021-10-09 06:58:55,47.67540098,17.64706570,4,124.763,44.191,1.880,162,14,23,,
T,2021-10-09 06:58:56,47.67538519,17.64707472,4,124.481,44.191,1.840,158,14,23,,
T,2021-10-09 06:58:57,47.67536969,17.64708528,4,124.747,44.191,1.840,157,16,23,,
T,2021-10-09 06:58:58,47.67535484,17.64709514,4,124.451,44.191,1.770,156,15,23,,
T,2021-10-09 06:58:59,47.67533992,17.64710437,4,124.600,44.191,1.760,156,16,23,,
T,2021-10-09 06:59:00,47.67532388,17.64711412,4,124.799,44.191,1.760,155,16,23,,
T,2021-10-09 06:59:01,47.67530946,17.64712397,4,124.819,44.191,1.720,154,16,23,,
T,2021-10-09 06:59:02,47.67529517,17.64713123,4,124.897,44.191,1.670,160,16,23,,
T,2021-10-09 06:59:03,47.67528022,17.64713753,4,125.359,44.191,1.670,160,16,23,,
T,2021-10-09 06:59:04,47.67526582,17.64714528,4,125.115,44.191,1.590,157,16,23,,
T,2021-10-09 06:59:05,47.67525117,17.64715358,4,125.888,44.191,1.670,158,15,23,,
T,2021-10-09 06:59:06,47.67523629,17.64716229,4,126.017,44.191,1.670,157,15,22,,
T,2021-10-09 06:59:07,47.67522175,17.64717242,4,125.585,44.191,1.670,155,14,22,,
T,2021-10-09 06:59:08,47.67520731,17.64718249,4,125.313,44.191,1.660,155,14,22,,
T,2021-10-09 06:59:09,47.67519223,17.64719028,4,125.510,44.191,1.630,163,14,22,,
T,2021-10-09 06:59:10,47.67517725,17.64719663,4,125.670,44.191,1.620,161,14,22,,
T,2021-10-09 06:59:11,47.67516371,17.64720442,4,125.283,44.191,1.620,158,14,22,,
T,2021-10-09 06:59:12,47.67515084,17.64721436,4,125.398,44.191,1.620,151,16,22,,
