type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-09-29 05:15:28,47.65013758,17.66709794,4,120.156,44.250,0.000,,23,28,20210929-071528,GPS Logger: 20210929-071528 - Vezetes01
T,2021-09-29 05:15:29,47.65013757,17.66709793,4,120.160,44.250,0.000,,23,27,,
T,2021-09-29 05:15:30,47.65013757,17.66709786,4,120.168,44.250,0.000,,23,27,,
T,2021-09-29 05:15:31,47.65013758,17.66709781,4,120.175,44.250,0.000,,23,27,,
T,2021-09-29 05:15:32,47.65013550,17.66709448,4,120.016,44.250,0.410,210,23,27,,
T,2021-09-29 05:15:33,47.65013217,17.66708849,4,120.648,44.250,0.510,224,24,27,,
T,2021-09-29 05:15:34,47.65013055,17.66708603,4,120.594,44.250,0.190,210,24,27,,
T,2021-09-29 05:15:35,47.65012952,17.66708456,4,120.639,44.250,0.000,,25,27,,
T,2021-09-29 05:15:36,47.65013194,17.66708362,4,120.529,44.250,0.230,325,25,27,,
T,2021-09-29 05:15:37,47.65013351,17.66708495,4,120.543,44.250,0.000,,25,27,,
T,2021-09-29 05:15:38,47.65013378,17.66708537,4,120.546,44.250,0.000,,24,27,,
T,2021-09-29 05:15:39,47.65013386,17.66708548,4,120.546,44.250,0.000,,23,27,,
T,2021-09-29 05:15:40,47.65013388,17.66708552,4,120.547,44.250,0.000,,22,27,,
T,2021-09-29 05:15:41,47.65013387,17.66708552,4,120.547,44.250,0.000,,22,27,,
T,2021-09-29 05:15:42,47.65013386,17.66708550,4,120.547,44.250,0.000,,22,27,,
T,2021-09-29 05:15:43,47.65013384,17.66708550,4,120.544,44.250,0.000,,21,27,,
T,2021-09-29 05:15:44,47.65013382,17.66708554,4,120.538,44.250,0.000,,21,27,,
T,2021-09-29 05:15:45,47.65013379,17.66708554,4,120.538,44.250,0.000,,20,27,,
T,2021-09-29 05:15:46,47.65013376,17.66708552,4,120.538,44.250,0.000,,19,27,,
T,2021-09-29 05:15:47,47.65013375,17.66708553,4,120.536,44.250,0.000,,19,27,,
T,2021-09-29 05:15:48,47.65013376,17.66708557,4,120.538,44.250,0.000,,19,27,,
T,2021-09-29 05:15:49,47.65013375,17.66708557,4,120.539,44.250,0.000,,19,27,,
T,2021-09-29 05:15:50,47.65012714,17.66707329,4,120.642,44.250,0.720,233,18,27,,
T,2021-09-29 05:15:51,47.65011925,17.66706599,4,121.218,44.250,1.090,219,20,27,,
T,2021-09-29 05:15:52,47.65011122,17.66705842,4,120.418,44.250,1.040,212,23,27,,
T,2021-09-29 05:15:53,47.65009925,17.66705361,4,119.912,44.250,1.290,195,23,26,,
T,2021-09-29 05:15:54,47.65009644,17.66705286,4,119.502,44.250,0.280,188,23,26,,
T,2021-09-29 05:15:55,47.65010033,17.66704937,4,119.358,44.250,0.580,338,23,25,,
T,2021-09-29 05:15:56,47.65011799,17.66703196,4,119.322,44.250,2.480,320,23,25,,
T,2021-09-29 05:15:57,47.65014144,17.66698761,4,119.338,44.250,4.300,308,23,25,,
