type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-02-09 07:48:10,47.72847813,18.24831107,45,103.553,44.167,34.560,97,7,10,20220209-084810,GPS Logger: 20220209-084810
T,2022-02-09 07:48:11,47.72844291,18.24876834,49,103.591,44.167,34.550,97,7,9,,
T,2022-02-09 07:48:12,47.72837450,18.24904146,51,107.063,44.167,34.050,97,6,9,,
T,2022-02-09 07:48:13,47.72828637,18.24947777,51,106.837,44.167,33.840,98,6,9,,
T,2022-02-09 07:48:14,47.72825315,18.24991497,66,105.839,44.167,33.720,98,3,8,,
T,2022-02-09 07:48:15,47.72815942,18.25038729,83,105.568,44.168,34.170,98,3,8,,
T,2022-02-09 07:48:16,47.72797671,18.25091037,98,107.231,44.168,35.220,100,4,8,,
T,2022-02-09 07:48:17,47.72795618,18.25137343,92,107.873,44.168,35.180,100,4,8,,
T,2022-02-09 07:48:18,47.72785458,18.25189900,93,110.107,44.168,35.320,100,5,8,,
T,2022-02-09 07:48:19,47.72781693,18.25234249,91,90.930,44.168,35.170,100,5,8,,
T,2022-02-09 07:48:20,47.72775129,18.25280775,90,92.893,44.169,35.210,100,5,8,,
T,2022-02-09 07:48:21,47.72769358,18.25326953,97,93.701,44.169,35.200,100,5,8,,
T,2022-02-09 07:48:22,47.72763540,18.25364059,100,94.030,44.169,34.460,101,5,8,,
T,2022-02-09 07:48:23,47.72757443,18.25409311,92,96.200,44.169,34.180,102,5,8,,
T,2022-02-09 07:48:24,47.72735359,18.25442752,76,97.913,44.169,33.380,104,5,8,,
T,2022-02-09 07:48:25,47.72705953,18.25481915,66,98.836,44.170,34.160,109,6,9,,
T,2022-02-09 07:48:26,47.72685776,18.25532085,62,98.497,44.170,34.770,109,7,9,,
T,2022-02-09 07:48:27,47.72675385,18.25574867,62,99.587,44.171,34.160,109,8,9,,
T,2022-02-09 07:48:28,47.72656735,18.25613501,50,101.638,44.171,34.260,114,8,10,,
T,2022-02-09 07:48:29,47.72653232,18.25657476,48,102.633,44.171,35.230,112,9,10,,
T,2022-02-09 07:48:30,47.72642426,18.25695927,50,102.048,44.171,34.590,113,10,10,,
T,2022-02-09 07:48:31,47.72624086,18.25736212,44,103.228,44.172,34.970,115,10,11,,
T,2022-02-09 07:48:32,47.72614034,18.25772948,45,103.485,44.172,34.000,115,10,12,,
T,2022-02-09 07:48:33,47.72598608,18.25812554,41,106.755,44.172,34.590,115,10,13,,
T,2022-02-09 07:48:34,47.72588215,18.25854288,30,111.427,44.172,34.470,115,11,13,,
T,2022-02-09 07:48:35,47.72568762,18.25899355,29,110.508,44.173,35.870,116,11,13,,
T,2022-02-09 07:48:36,47.72555707,18.25942438,26,112.347,44.173,35.480,115,9,13,,
T,2022-02-09 07:48:37,47.72540340,18.25983194,25,112.471,44.173,34.830,116,9,13,,
T,2022-02-09 07:48:38,47.72529297,18.26026558,20,113.519,44.173,33.420,114,9,13,,
T,2022-02-09 07:48:39,47.72520421,18.26073582,15,108.371,44.174,35.100,117,9,13,,
T,2022-02-09 07:48:40,47.72502751,18.26112490,14,113.414,44.174,35.340,116,9,13,,
T,2022-02-09 07:48:41,47.72489160,18.26155906,13,112.680,44.174,35.490,116,9,13,,
T,2022-02-09 07:48:42,47.72473224,18.26197098,13,112.604,44.175,35.190,116,10,13,,
T,2022-02-09 07:48:43,47.72460254,18.26238693,13,111.528,44.175,35.200,116,10,13,,
T,2022-02-09 07:48:44,47.72447149,18.26281412,14,111.786,44.175,35.150,116,10,13,,
T,2022-02-09 07:48:45,47.72431615,18.26322155,14,111.467,44.175,35.130,117,10,12,,
T,2022-02-09 07:48:46,47.72421222,18.26366736,13,110.870,44.176,35.270,117,9,12,,
T,2022-02-09 07:48:47,47.72406905,18.26406631,13,112.956,44.176,34.730,117,9,12,,
T,2022-02-09 07:48:48,47.72394464,18.26448021,14,113.225,44.176,34.500,116,10,11,,
T,2022-02-09 07:48:49,47.72380071,18.26488909,15,115.956,44.176,34.660,116,10,11,,
T,2022-02-09 07:48:50,47.72370108,18.26534663,17,122.521,44.177,34.690,116,8,11,,
T,2022-02-09 07:48:51,47.72360054,18.26574561,17,120.816,44.177,33.800,117,8,12,,
T,2022-02-09 07:48:52,47.72345607,18.26613470,19,119.667,44.177,33.650,117,9,12,,
T,2022-02-09 07:48:53,47.72329627,18.26657398,19,120.684,44.177,34.750,118,8,13,,
T,2022-02-09 07:48:54,47.72310735,18.26694060,18,120.439,44.178,35.370,120,7,13,,
T,2022-02-09 07:48:55,47.72288618,18.26732765,16,120.299,44.178,35.560,122,7,13,,
T,2022-02-09 07:48:56,47.72270030,18.26771463,16,120.688,44.178,35.160,122,8,13,,
T,2022-02-09 07:48:57,47.72251761,18.26809052,15,121.183,44.179,35.130,123,9,14,,
T,2022-02-09 07:48:58,47.72235070,18.26849142,16,121.179,44.179,35.250,123,9,14,,
T,2022-02-09 07:48:59,47.72215743,18.26885654,16,117.613,44.179,34.960,124,9,14,,
T,2022-02-09 07:49:00,47.72198221,18.26926815,14,118.998,44.180,35.850,126,10,14,,
T,2022-02-09 07:50:08,47.70813807,18.29231946,36,129.510,44.204,33.040,136,6,10,,
T,2022-02-09 07:50:09,47.70790127,18.29258775,39,129.247,44.204,33.020,137,6,10,,
T,2022-02-09 07:50:10,47.70765755,18.29283075,38,129.155,44.205,32.750,139,5,10,,
T,2022-02-09 07:50:11,47.70743730,18.29311835,42,128.991,44.205,32.730,139,6,10,,
T,2022-02-09 07:50:12,47.70719869,18.29332409,43,128.839,44.206,32.300,141,6,10,,
T,2022-02-09 07:50:13,47.70697486,18.29359523,47,128.668,44.206,32.280,141,6,10,,
T,2022-02-09 07:50:14,47.70672378,18.29377211,54,128.853,44.206,32.090,142,4,10,,
T,2022-02-09 07:50:15,47.70641025,18.29400588,48,128.330,44.207,32.500,144,5,10,,
T,2022-02-09 07:50:16,47.70618011,18.29426679,51,128.086,44.207,32.460,144,6,10,,
T,2022-02-09 07:50:17,47.70595345,18.29457837,60,127.525,44.208,32.470,143,5,10,,
T,2022-02-09 07:50:18,47.70568326,18.29483551,64,127.017,44.208,32.570,145,5,11,,
T,2022-02-09 07:50:19,47.70544966,18.29509014,71,126.791,44.208,32.530,145,6,11,,
T,2022-02-09 07:50:20,47.70509794,18.29507555,80,128.266,44.209,32.340,149,6,10,,
T,2022-02-09 07:50:21,47.70477314,18.29528829,87,128.383,44.209,32.770,149,6,10,,
T,2022-02-09 07:50:22,47.70452149,18.29550807,102,128.458,44.210,32.740,149,5,10,,
T,2022-02-09 07:50:23,47.70462562,18.29566687,96,128.117,44.210,30.730,148,5,10,,
T,2022-02-09 07:50:24,47.70439112,18.29587408,113,128.132,44.210,30.670,148,4,10,,
T,2022-02-09 07:50:25,47.70418162,18.29610818,135,128.066,44.210,30.580,148,3,10,,
T,2022-02-09 07:50:26,47.70380551,18.29636719,155,127.936,44.211,31.480,148,3,10,,
T,2022-02-09 07:50:27,47.70351664,18.29662557,149,128.343,44.212,31.830,149,3,10,,
T,2022-02-09 07:50:28,47.70312536,18.29686039,157,128.170,44.212,32.640,150,4,9,,
T,2022-02-09 07:50:29,47.70285873,18.29711907,157,128.040,44.213,32.740,150,4,8,,
T,2022-02-09 07:50:30,47.70261539,18.29727941,151,127.767,44.213,32.490,150,5,7,,
T,2022-02-09 07:50:31,47.70237914,18.29751687,154,127.584,44.213,32.460,150,5,7,,
T,2022-02-09 07:50:32,47.70228609,18.29776833,147,127.594,44.214,31.730,149,5,7,,
T,2022-02-09 07:50:33,47.70241849,18.29773660,127,128.761,44.213,31.310,149,5,7,,
T,2022-02-09 07:50:34,47.70216271,18.29793366,146,128.851,44.214,31.320,149,4,6,,
T,2022-02-09 07:50:35,47.70189887,18.29798681,165,129.106,44.214,31.030,150,4,6,,
T,2022-02-09 07:50:36,47.70160523,18.29822946,184,128.982,44.215,31.350,151,3,6,,
T,2022-02-09 07:50:37,47.70137107,18.29844553,207,128.972,44.215,31.300,150,3,5,,
T,2022-02-09 07:50:38,47.70083006,18.29864030,198,128.449,44.216,33.010,152,3,6,,
T,2022-02-09 07:50:39,47.70045045,18.29904649,175,129.113,44.216,33.780,151,4,6,,
T,2022-02-09 07:50:40,47.70017156,18.29912917,177,129.335,44.217,33.570,153,5,6,,
T,2022-02-09 07:50:41,47.69983665,18.29912611,163,129.211,44.217,33.290,156,5,6,,
T,2022-02-09 07:50:42,47.69992939,18.29915047,142,129.732,44.217,31.020,153,5,6,,
T,2022-02-09 07:50:43,47.69968947,18.29935303,149,129.563,44.218,31.000,152,5,6,,
T,2022-02-09 07:50:44,47.69946189,18.29957977,149,129.381,44.218,30.980,152,5,6,,
T,2022-02-09 07:50:45,47.69908339,18.29989402,153,129.287,44.219,32.250,151,4,6,,
T,2022-02-09 07:50:46,47.69881449,18.30007523,171,129.448,44.219,32.280,151,3,6,,
T,2022-02-09 07:50:47,47.69854749,18.30025682,191,129.454,44.220,32.270,151,3,6,,
T,2022-02-09 07:50:48,47.69827962,18.30042130,194,129.404,44.220,32.310,152,3,5,,
T,2022-02-09 07:50:49,47.69802178,18.30060315,215,129.442,44.220,32.260,152,4,5,,
T,2022-02-09 07:50:50,47.69766591,18.30083540,232,129.470,44.221,32.970,153,4,5,,
T,2022-02-09 07:50:51,47.69736150,18.30104204,176,129.214,44.221,32.930,153,4,6,,
T,2022-02-09 07:50:52,47.69679556,18.30146695,102,132.061,44.222,33.450,154,6,6,,
T,2022-02-09 07:50:53,47.69647055,18.30165673,90,130.396,44.223,33.650,154,6,7,,
T,2022-02-09 07:50:54,47.69607914,18.30164605,59,128.456,44.223,33.770,156,7,8,,
T,2022-02-09 07:50:55,47.69576069,18.30179458,49,127.847,44.224,33.100,156,8,8,,
T,2022-02-09 07:50:56,47.69547217,18.30197716,46,127.781,44.224,32.430,155,8,8,,
T,2022-02-09 07:50:57,47.69517213,18.30215673,41,127.361,44.225,33.010,154,8,8,,
T,2022-02-09 07:50:58,47.69489227,18.30228662,39,127.744,44.225,33.770,155,8,9,,
T,2022-02-09 07:50:59,47.69466738,18.30260170,32,125.033,44.226,33.210,150,9,10,,
T,2022-02-09 07:51:00,47.69450057,18.30284796,31,127.172,44.226,32.350,153,9,10,,
T,2022-02-09 07:51:01,47.69427098,18.30306590,30,127.026,44.226,32.470,152,7,10,,
T,2022-02-09 07:51:02,47.69400822,18.30325380,23,127.726,44.227,32.510,153,7,10,,
T,2022-02-09 07:51:03,47.69371818,18.30340595,23,127.675,44.227,32.640,153,10,10,,
T,2022-02-09 07:51:04,47.69346765,18.30360393,24,127.413,44.228,32.190,153,10,10,,
T,2022-02-09 07:51:05,47.69319422,18.30378269,25,127.640,44.228,32.420,153,9,10,,
T,2022-02-09 07:51:06,47.69293837,18.30398283,26,127.370,44.228,32.350,153,9,10,,
T,2022-02-09 07:51:07,47.69271936,18.30414729,23,129.820,44.229,32.200,153,9,10,,
T,2022-02-09 07:51:08,47.69245374,18.30432417,26,130.602,44.229,32.320,153,10,10,,
T,2022-02-09 07:51:09,47.69217700,18.30451776,30,132.547,44.230,32.600,153,8,10,,
T,2022-02-09 07:51:10,47.69184813,18.30471060,27,129.447,44.230,32.980,154,8,10,,
T,2022-02-09 07:51:11,47.69158344,18.30491915,27,129.676,44.231,33.020,153,8,10,,
T,2022-02-09 07:51:12,47.69127635,18.30511785,26,128.331,44.231,33.030,154,9,10,,
T,2022-02-09 07:51:13,47.69104815,18.30530572,26,129.389,44.231,32.600,153,10,10,,
T,2022-02-09 07:51:14,47.69074835,18.30548683,26,129.725,44.232,32.980,154,9,10,,
T,2022-02-09 07:51:15,47.69052870,18.30567006,26,128.666,44.232,31.470,153,9,10,,
T,2022-02-09 07:51:16,47.69027203,18.30585973,28,128.586,44.233,31.790,153,8,10,,
T,2022-02-09 07:51:17,47.68999881,18.30603011,29,128.237,44.233,32.240,153,8,10,,
T,2022-02-09 07:51:18,47.68974154,18.30626249,31,127.642,44.233,32.330,152,7,10,,
T,2022-02-09 07:51:19,47.68955048,18.30649766,31,129.772,44.234,32.210,150,7,10,,
T,2022-02-09 07:51:20,47.68928539,18.30670358,35,130.180,44.234,32.330,151,7,10,,
T,2022-02-09 07:51:21,47.68902674,18.30693671,34,130.297,44.235,32.590,150,7,10,,
T,2022-02-09 07:51:22,47.68877455,18.30715033,36,130.417,44.235,32.970,149,9,10,,
T,2022-02-09 07:51:23,47.68848493,18.30734641,34,131.249,44.235,33.290,150,9,11,,
T,2022-02-09 07:51:24,47.68826663,18.30765015,32,131.136,44.236,33.240,147,9,11,,
T,2022-02-09 07:51:25,47.68811084,18.30797604,25,130.139,44.236,32.820,145,9,11,,
T,2022-02-09 07:51:26,47.68792370,18.30827813,23,130.480,44.236,32.740,145,8,11,,
T,2022-02-09 07:51:27,47.68759367,18.30854000,24,133.533,44.237,33.880,145,8,11,,
T,2022-02-09 07:51:28,47.68733622,18.30876637,27,133.534,44.237,33.400,146,6,11,,
T,2022-02-09 07:51:29,47.68715991,18.30907499,29,135.408,44.237,33.230,145,7,11,,
T,2022-02-09 07:51:30,47.68692048,18.30932695,35,135.039,44.238,33.330,146,6,11,,
T,2022-02-09 07:51:31,47.68662719,18.30962743,31,135.730,44.238,33.950,146,6,11,,
T,2022-02-09 07:51:32,47.68637743,18.30988474,31,135.299,44.239,33.990,146,8,11,,
T,2022-02-09 07:51:33,47.68610724,18.31012404,30,134.740,44.239,33.990,146,9,11,,
T,2022-02-09 07:51:34,47.68583454,18.31039074,32,136.387,44.239,34.350,146,9,11,,
T,2022-02-09 07:51:35,47.68559128,18.31065213,36,136.242,44.240,34.120,145,8,11,,
T,2022-02-09 07:51:36,47.68530124,18.31095953,34,136.950,44.240,34.700,146,8,11,,
T,2022-02-09 07:51:37,47.68502799,18.31116816,32,137.624,44.241,36.020,146,7,11,,
T,2022-02-09 07:51:38,47.68471463,18.31151692,28,138.173,44.241,35.790,145,6,11,,
T,2022-02-09 07:51:39,47.68444989,18.31177013,27,139.166,44.242,35.850,145,6,11,,
T,2022-02-09 07:51:40,47.68417346,18.31203726,31,138.937,44.242,35.940,146,7,10,,
T,2022-02-09 07:51:41,47.68391226,18.31232656,36,138.116,44.242,35.840,145,7,11,,
